,author,title,desc,format
1576,Kristen Callihan,Moonglow,"Once the seeds of desire are sown . . .Finally free of her suffocating marriage, widow Daisy Ellis Craigmore is ready to embrace the pleasures of life that have long been denied her. Yet her new-found freedom is short lived. A string of unexplained murders has brought danger to Daisy's door, forcing her to turn to the most unlikely of saviors . . .Their growing passion knows no bounds . . .Ian Ranulf, the Marquis of Northrup, has spent lifetimes hiding his primal nature from London society. But now a vicious killer threatens to expose his secrets. Ian must step out of the shadows and protect the beautiful, fearless Daisy, who awakens in him desires he thought long dead. As their quest to unmask the villain draws them closer together, Daisy has no choice but to reveal her own startling secret, and Ian must face the undeniable truth: Losing his heart to Daisy may be the only way to save his soul.",0
1577,Rachel Hawthorne,Moonlight,"I see him and I know what this turmoil inside of me means: He's the one. My forever.Kayla is the nature lover, the all-American beauty who can't understand why she's so drawn to distant, brooding Lucas. Adopted as a young child, she has no way of knowing that she's inherited a terrifying-and thrilling-gene that will change her life forever.Lucas is dangerous, gorgeous... and a werewolf. As leader of the Dark Guardians, shape-shifters who gather deep within the state park, he has sworn to protect his pack. But when Lucas finds his true soul mate, his love could put them all in harm's way.As Lucas and Kayla struggle with their feelings for each other, a greater danger lurks: Humans have discovered the Dark Guardians and are planning their destruction. Kayla must choose between the life she knows and the love she feels certain is her destiny.",0
1578,Janet Chapman,Moonlight Warrior,"Eve Anderson is darned tired of Kenzie Gregor meddling in her business. She might be struggling to keep herself and her ailing mother financially afloat, but she's no princess in need of a strong, capable knight in a black SUV to rescue her -- even if he is easy on the eyes. Besides, there's something very odd about him...and she's sure the strange events occurring in their small coastal Maine town are linked to his recent arrival.  Once an immortal warrior cursed to live as a panther, Kenzie is finally free to live and die as a man, and his destiny is to help other displaced souls. Of course, if he can get tiny, blue-eyed, curly blond Eve out of the deal, well...life doesn't get any better. But she's as stubborn and fierce as a lioness, and in order to win her love, he must tempt her with forbidden desires....",0
1579,Beth Gutcheon,More Than You Know,"In a small town called Dundee on the coast of Maine, an old woman named Hannah Gray begins her story: ""Somebody said 'true love is like ghosts, which everyone talks about and few have seen.' I've seen both and I don't know how to tell you which is worse."" Hannah has decided, finally, to leave a record of the passionate and anguished long-ago summer in Dundee when she met Conary Crocker, the town bad boy and love of her life. This spare, piercing, and unforgettable novel bridges two centuries and two intense love stories as Hannah and Conary's fate is interwoven with the tale of a marriage that took place in Dundee a hundred years earlier.",0
1580,Nora Roberts,Morrigan's Cross,"Number-one New York Times bestselling author Nora Roberts delivers an extraordinary new trilogy—an epic tale that breaks down the boundaries between reality and the otherworldly, while forging together the passions of the men and women caught in a battle for the fate of humanity ...In the last days of high summer, with lightning striking blue in a black sky, the sorcerer stood on a high cliff overlooking the raging sea...Belting out his grief into the storm, Hoyt Mac Cionaoith rails against the evil that has torn his twin brother from their family's embrace. Her name is Lilith. Existing for over a thousand years, she has lured countless men to an immortal doom with her soul-stealing kiss. But now, this woman known as vampire will stop at nothing until she rules this world—and those beyond it...Hoyt is no match for the dark siren. But his powers come from the goddess Morrigan, and it is through her that he will get his chance at vengeance. At Morrigan's charge, he must gather five others to form a ring of power strong enough to overcome Lilith. A circle of six: himself, the witch, the warrior, the scholar, the one of many forms and the one he's lost. And it is in this circle, hundreds of years in the future, where Hoyt will learn how strong his spirit—and his heart—have become...Note: This edition includes a ""Glossary of Irish Words, Characters and Places"" immediately after the story concludes.",0
1581,Eileen Wilks,Mortal Danger,"Former cop Lily Yu has her sister's wedding to attend, a missing magical staff to find, and now must deal with her grandmother's decision to return to the old country. Lily could turn to the man she's involved with for advice, but for all the passion that flares between them, she doesn't really know Rule Turner--she's just bound to him for life. Rule happens to be a werewolf, and Lily wonders just how far she can trust him. ",0
1582,Stacey O'Neale,Mortal Enchantment,"“Mortal Enchantment spins a unique twist on elemental mythology. This series is not to be missed.”Jennifer L. Armentrout, #1 New York Times Bestselling AuthorIn Kalin Matthew's world, elementals control the forces of nature. They are divided into four courts: air, woodland, fire, and water. At sixteen she will leave the life she's built with her mortal mother. Kalin will move to Avalon to rule with her father—the elemental king of the air court. Along the way, she's attacked by a fire court assassin and saved by Rowan, a swoon-worthy elemental with a questionable past. Worst of all, she learns her father is missing.To rescue him, Kalin will have to work with a judgmental council and a system of courts too busy accusing each other of deceit to actually be able to help her. But, they aren’t her biggest challenge. With the Midwinter’s Ball only five days away, Kalin must take over her father’s duties, which includes shifting control of the elements—power Kalin has yet to realize.As Rowan attempts to train her, a war looms between the four courts. If Kalin fails, her father will die and the courts will fall, but the betrayal she’s about to uncover may cost her even more...",0
1583,Alice Moss,Mortal Kiss,"How much would you sacrifice for just one kiss . . .When smouldering Finn and sexy Lucas arrive in Winter Mill, life starts to get very complicated for Faye McCarron.But two boys battling for her heart is just the start. Soon there's a dead body in the woods, a motorcycle gang on the prowl, and the snow just won't stop falling. Something evil is at work, and only Faye and best friend Liz can stop it. As Hallowe'en draws near they must uncover the dark and sinister secret . . . before it's too late.Love paranormal romance, werewolves and ethereal spirits? Then this book is for you!",0
1584,Eileen Wilks,Mortal Sins,"FBI agent Lily Yu is in North Carolina with her lover and mate, Rule Turner, Lu Nuncio of the Nokolai werewolf clan. He is there to take custody of his son from the boy's grandmother. It's a purely personal trip until Rule, in wolf form, finds three bodies in a shallow grave. They carry the stench of death magic, which makes the murders a federal crime. Lily takes charge of the investigation and soon realizes that nothing adds up- not the motives or the main suspect, who is behind bars when death strikes again.But murder, however bizarre, is an everyday affair for Lily, who was a homicide cop before being recruited into the FBI's Magical Crimes Division. A more personal shock arrives in the form of Rule's son's mother. Why would she now challenge Rule's plan to bring his son to live among the Nokolai? But family matters must take a backseat when the violence escalates, and there's no rhyme or reason for the next strike- by a killer who may not even be of this world.",0
1585,Eileen Wilks,Mortal Ties,"Eileen Wilks' novels of the Lupi have drawn readers into a seductive world of action, suspense, and passion. Now, FBI agent Lily Yu tracks a traitor into the darkest shadows yet… FBI agent Lily Yu is living at Nokolai Clanhome with her fiancé, lupi Rule Turner, when an intruder penetrates their territory, stealing the prototpye of a magical device the clan hopes will be worth a fortune--if a few bugs can be worked out . . . But the protoytpe can be dangerously erratic, discharging a bizarre form of mind magic—and it looks like the thief wants it for that very side effect. Worse, whoever stole the device didn’t learn about it by accident. There’s a Nokolai traitor in their midst. Lily and Rule have to find the traitor, the thief, and the prototype. One job proves easy when the thief calls them--and his identity rocks Rule’s world.  As they race to recover their missing property, they find Robert Friar’s sticky footprints all over the place. Robert Friar--killer, madman, and acolyte of the Old One the lupi are at war with--an Old One whose power is almost as vast as her ambition to rock the entire world . . .",0
1586,C.E. Murphy,Mountain Echoes,"You can never go home again.Joanne Walker has survived an encounter with the Master at great personal cost, but now her father is missing - stolen from the timeline. She must finally return to North Carolina to find him - and to meet Aidan, the son she left behind long ago. That would be enough for any shaman to face, but Joanne's beloved Appalachians are being torn apart by an evil reaching forward from the distant past. Anything that gets in its way becomes tainted - or worse. And Aidan has gotten in the way. Only by calling on every aspect of her shamanic powers can Joanne pull the past apart and weave a better future. It will take everything she has - and more. Unless she can turn back time...  ",0
1587,Amanda Grange,"Mr. Darcy, Vampyre","A married man in possession of a dark fortune must be in want of an eternal wife...My hand is trembling as I write this letter. My nerves are in tatters and I am so altered that I believe you would not recognize me. The past two months have been a nightmarish whirl of strange and disturbing circumstances, and the future...I am afraid.If anything happens to me, remember that I love you and that my spirit will always be with you, though we may never see each other again. The world is a cold and frightening place where nothing is as it seems.",0
1588,Dana Marie Bell,Mr. Red Riding Hoode,"The better to make you mine, my dear…When it came down to saving his best friend Ben’s relationship, Steven Hoode didn't hesitate to trade his Florida timeshare for a month at Red Wolf Lodge. Cold weather isn't his favorite thing, but hot snow bunnies are, so he plans to make the most of his vacation.Good karma kicks in when he sees a pretty brunette chatting with the lodge owner. All thoughts of nuptials and nookie take a back seat to the heat that flares between them.When Graciela “Chela” Mendoza catches sight of the gorgeous man shivering in a red-hooded parka, she realizes why he makes her heart beat faster. He’s her mate. The problem? Steven has no idea his friends are Wolves.Chela plans to break it to him gently, but when he accidently witnesses the whole Pack shifting, things get a bit…hairy. He bolts, locking himself in his cabin and refusing to listen, even to Ben.Unless she can get him to see that Wolves are people, too, Chela will lose her mate faster than she can say woof.Warning: This book contains explicit sex, graphic language, a man packing some nice goodies and a she-Wolf all ready to gobble them up.",0
1589,Shanna Swendson,Much Ado About Magic,"Katie Chandler is back in New York and at Magic, Spells, and Illusions, Inc. – and just in time. The city’s in the grip of a magical crime wave from spells that wizarding whiz Owen Palmer thinks look awfully familiar, and the rogue firm Spellworks is raising its profile in the magical world by selling protective amulets. It’s Katie’s job as the new director of marketing for MSI to fight this battle of public perception while Owen and the other wizards try to uncover what’s really going on.What Katie doesn’t realize is that her idea to stage a showcase for MSI’s magical achievements is playing right into a devious plot more than three decades in the making. Now Katie has to do damage control that has nothing to do with marketing. To save the magical world, she’ll have to prove who the real enemy is, and doing that will require digging deeper into Owen’s mysterious past than he wants anyone to go. If she fails, she not only stands to lose a magical war, but she could also lose the man she loves.",0
1590,Christine Feehan,Murder Game,"Return to the world of the GhostWalkers with “the queen of paranormal romance” (USA Today) as she raises the stakes in the ultimate game of love and death… Games should be fun, but for two expert teams across the country, they’re murder – because the winning team is the one that gets the most kills. The participants in this violent challenge rumored to be GhostWalkers. And Kadan Montague isn’t happy about it.Kadan is a GhostWalker and he’s determined to clear the GhostWalker name of the rumors. To do it, he’s going to need the help of psychic Tansy Meadows. But as soon as he sees her, he knows his mission will be more complicated than he imagined – and the “murder game” may not be at all what it seems.",0
1591,Kelly McClymer,Must Love Black,"NANNY FOR 10-YR-OLD TWINS. MAINE COAST. OWN ROOM - GENEROUS SALARY. MUST LOVE BLACK. Must love black? Sounds like a coffee-loving, seclusion-seeking goth girl's dream job. Philippa isn't fazed by the fog-enshrouded mansion on a cliff, the weirdest twins on the planet, or even the rumors about ghosts, 'cause when she meets the estate's hot gardener, Philippa's pretty sure she's found her dream boy, too. Too bad Geoff's already taken - by a girl whose wardrobe is head-to-toe pink. Still, Philippa can't get Geoff out of her head. What will it take to lure him to the dark side?",0
1592,Charlaine Harris|Nalini Singh|Ilona Andrews|Meljean Brook,Must Love Hellhounds,"In these hound-eat-hound worlds, anything goes…and everything bites.Follow paranormal bodyguards Clovache and Batanya into Lucifer’s realm, where they encounter his fearsome four-legged pets, in “The Britlingens Go to Hell.” Seek out a traitor in the midst of a guild of nonlethal vampire trackers, one that intends to eradicate the entire species of bloodsuckers, in “Angels’ Judgment.” Find out why the giant, three-headed dog that guards the gates of Hades has left the underworld for the real world—and whose scent he’s following—in “Magic Mourns.” Join a vampire’s butler in the perilous search for her employer’s niece, aided by a blind—and damn sexy—companion and a hellhound, in “Blind Spot.”Today’s hottest paranormal authors deliver four all-new adventures starring man’s worst friend…",0
1593,Linda D. Hays-Gibbs,"My Angel, My Light as Darkness Falls","At the mercy of the darkness which terrifies her, Pru is alone except for 40,000 dead bodies. She starts screaming with no hope as the black starts to consume her. Suddenly warm strong arms embrace her and she is sheltered from the horror all around. She sleeps until the arms leave her once again alone in the dark and her screaming starts again.Luckily the dawn is coming and she has not lost her mind entirely before the first burst of light softens the dark. Then the horrors must leave as the day chases them away.",0
1594,Madelyn Ford,My Avenging Angel,"To save her life, he must break a covenant-and lose his heart.An Angels and Demons story.It's Victoria Bloom's twenty-fifth birthday. But is she out celebrating? Oh, no. She's in a stuffy old attic with the Three Stooges-a.k.a. her so-called spirit guides. There's a demon who wants her dead, the same one that killed her mother two decades ago. No worries, say the Stooges. All she has to do is summon an angel. What could go wrong?Well, plenty when you summon the wrong angel. The next thing Tory knows, she's got one very bad-ass, pissed-off and sexy Archangel on her hands.Michael, mighty warrior, leader of an elite team of demon killers, is shaking in his heavenly combat boots. Not because he finds all humans distasteful. But because he'd rather face Lucifer himself than the woman his soul has just recognized as his mate. Binding himself to a mortal, one who will eventually die, is the one path he's sworn never to follow.It's too late now; his fate is sealed. With one touch, she becomes as necessary to him as the air he breathes. He will move heaven and earth to protect her-but against a demon as powerful as Asmodeus, heaven and earth may not be enough . . .",0
1595,T.M. Mendes,My Beloved,"  ✔Spell binding ✔Sexy ✔Romantic ✔Monster Romance ✔Vampire    “She gave me life again. She is the reason why I came to life and why I am breathing. Her blood calls out to me like a siren that I cannot ignore. Who is she, you ask? Why, she is My Beloved.”  It was in English class that Wendy heard of a tale about the vampire, Vincent Gilmore, who was buried alive by the townspeople along with their silver. The only thing interesting about it was the silver, which Wendy sure could put to good use for her brother’s surgery. Wendy was shocked to find that the tale was indeed true, for there, after digging his grave, she came face to face with his rotting corpse, and the mound of silver that she took home. Unknowingly, Wendy set a series of events that would forever change her life. Her blood brought Vincent back to life, but it wasn’t her blood alone. They were destined to be together. Because she was his Beloved.",0
1596,P.N. Elrod|Marjorie M. Liu|Katie MacAlister|Lilith Saintcrow|Ronda Thompson|Kelley Armstrong|Jim Butcher|Rachel Caine|Caitlin Kittredge,My Big Fat Supernatural Honeymoon,"Nine popular fantasy and paranormal romance authors celebrate marital bliss supernatural style in a collection of honeymoon tales populated by demons, vampires, shape-shifters, magic-users, and other unusual characters in an anthology featuring works by Kelley Armstrong, Jim Butcher, Rachel Caine, P.N. Elrod, Caitlin Kittredge, Marjorie M. Liu, Katie MacAlister, Lilith Saintcrow & Ronda Thompson.What newly married couple doesn't dream of a romantic retreat where they can escape the world for a while — but what happens when supernatural forces intrude on their wedded bliss? Nine of today’s hottest paranormal authors answer that question in this all-star collection of supernatural stories. Can a vampire-hunter enjoy her honeymoon after learning that her new hubby is a werewolf? How can newlyweds focus on their wedding night when their honeymoon suite is haunted by feuding ghosts? And what’s a wizard to do when a gruesome monster kidnaps the bride on her way home from the wedding? With so much otherworldly mayhem awaiting our newlyweds, will they ever get around to the honeymoon itself? Find out in...My Big Fat Supernatural Honeymoon.",0
1597,Amanda Hocking,My Blood Approves,"Seventeen-year-old Alice Bonham's life feels out of control after she meets Jack. With his fondness for pink Chuck Taylors and New Wave hits aside, Jack's unlike anyone she's ever met. Then she meets his brother, Peter. His eyes pierce through her, and she can barely breathe when he's around. Even though he can't stand the sight of her, she's drawn to him. But falling for two very different guys isn't even the worst of her problems. Jack and Peter are vampires, and Alice finds herself caught between love and her own blood...",0
1598,Priya Ardis,My Boyfriend Merlin,"He was a little older than he was letting on. By a few eons...In this modern Arthurian, 17 year-old Boston high schooler Arriane, aka Ryan, DuLac just found out the guy she's been crushing on, hot biker Matt, is a little older than he was letting on. In fact, he is really Merlin—the Merlin, King Arthur's Merlin, the greatest wizard who ever lived. Frozen in a cave for over fifteen hundred years, he's woken for a purpose. But Ryan's not impressed. Tired of being a relationship loser, she'd rather kick his legendary behind.Sure, the world has been crazy ever since the sword and the stone fell out of the sky like a meteor. But despite gruesome gargoyles, a deadly new world of magic, and the guy driving her crazy, Ryan knows that family is everything. Will Merlin sacrifice hers to save the world? Will she be able to stop him?",0
1599,Alanea Alder,My Brother's Keeper,"Two hundred years ago Kendrick Ashwood had a premonition that showed him the gruesome image of his baby brother being killed in the line of duty while serving with the Alpha Unit. When centuries go by and Keelan is still alive and well, he begins to relax. He believes that his prayers sent to the Gods to make him wrong this one time have been answered. As Kendrick feels his godsdaughter’s magic flare out of control he immediately merges with her in an attempt to rein it in. That is when he learns of the tragedy that has taken his only family away from him. Using every resource at his disposal he immediately heads for Lycaonia to find out for himself who would be suicidal enough to harm his brother. What he finds shocks him to his core.Anne Bennett gets a phone call that changes her life. Her new best friend Keelan has been hurt and his commander is asking her to move in to help take care of him. Her heart breaks when she hears from his family that the dreams she has been having of them together were shared by Keelan and that he was meant to be her mate. Upon meeting Kendrick, her entire world is shaken. His more mature appearance and perpetual frown makes him look more like the man from her dreams than Keelan ever did. When she can no longer fight her attraction for him she confesses her feelings only to have them rebuffed. Kendrick is adamant that he would never steal his brother’s mate. But Anne is almost positive that she was never Keelan’s mate to begin with.As the Alpha Unit races to find the enemies who have stolen Keelan’s soul and covered Lycaonia in black magic, Kendrick begins to uncover dreadful truth behind the necklaces. When turning to Anne feels more natural than it should, Kendrick faces the fact that Anne truly is his mate. As the paranormal world teeters on the brink of chaos, he finds himself protecting not his brother’s mate, but his own.",0
1600,Alanea Alder,My Commander,"In book one you meet our delicious Alpha Unit leader Aiden McKenzie. When the topic of grandchildren comes up during a weekly sewing circle the matriarchs of the founding families seek out the witch Elder to scry to see if their sons have mates. They are shocked to discover that many of their sons' mates are out in the world and are human!Fearing that their future human daughters-in-law will end up dead before being claimed and providing them with grandchildren to spoil, they convince their own mates that something must be done. After gathering all of the warriors together in a fake award ceremony the witch Elder casts a spell to pull the men’s mates to them, whether they want it or not.Aiden is adamant that he doesn’t need a mate and that they would only get in the way, little does he realize Fate is sending him his mate first! He meets his destined mate Meryn Evans and things go downhill from there. In the first twenty four hours she kicks, screams and knocks her bear shifting mate unconscious. They eventually discover that life before finding each other may have been good, but life afterwards is perfect, even if it involves super soaker battles and accidentally discharging hand grenades.",0
1601,Jill Myles,My Fair Succubi,"IT SUCKS TO BE HER. Living as a succubus has a bit of a learning curve, but with sexy fallen angel Noah to scratch her sensual Itch, Jackie Brighton is finally starting to feel ahead of the game. She almost doesn’t miss her gorgeous vampire master Zane—or his sinful, teasing mouth. She’s trying to convince herself of that, anyway. But Jackie’s past mistakes catch up with her, spinning her life out of control once more. Just as her friend Remy’s inner demon comes out to play, Noah and Jackie are arrested by the angelic Serim Council. When Jackie seizes the chance to escape, she falls right into Zane’s waiting arms. As she’s pulled into a game of cat and mouse between vampires and angels, she finds she must also choose between the two men in her life. Can she decide between Noah and Zane, or will she lose everything she’s ever wanted? Because there’s more at stake than just her heart. . . .",0
1602,Victoria Danann,My Familiar Stranger,"Winner BEST PARANORMAL ROMANCE SERIES the past four years in a row! - Reviewers Choice Awards, The Paranormal Romance Guild.""My God, this is spectacular."" - Quote the Raven New York Times and USA Today bestseller, Victoria Danann, introduces the epic saga that reset the gold standard for paranormal romance.  I accidentally ended up in this dimension. I had nothing.I knew no one. I barely survived the journey, but landed in the best possible place; an ancient society of vampire hunters with the medical means to put me back together. I can't go home, but I can use the extra-abilities I gained from slipping dimensions to work for Black Swan and try to keep my friends alive. When it comes to love, I have options. The knight who saved my life is strength and honor personified. The sexy elf who thinks I'm his mate. And an incredibly attractive six-hundred-year-old vampire.My name is Elora Laiken. This is my story.",0
1603,Susan Grant,My Favorite Earthling,"In this follow-up to Grant's Your Planet or Mine?, sexy Jared Jasper is the only thing standing between Earth and a hostile takeover by Keira, warrior-queen of the galaxy, who discovers Jared is far more than the boy-toy she expected. Original .",0
1604,Alanea Alder,My Healer,"Fun loving wolf-shifter Colton Albright’s usual concern…his next meal, has been replaced by haunted dreams. The nightly visions of the sad, anxious face of his mate have this jovial jokester withdrawing from his fellow Alpha Unit members.Rheia Bradley is a dedicated professional that lives to help others, but has long forgotten how to help herself. When she arrives in Lycaonia seeking the protection of the warrior units, Colton is ecstatic to discover that she’s his mate. His relief is quickly eclipsed by one small problem, a tiny, solemn four-year-old girl who happens to be his mate’s adopted daughter. Which means… he is now a father!While Rheia settles into her new job, Colton and all his fellow warriors are about to get a crash course on little girls. The men quickly learn that not one ounce of their centuries-long training has prepared any them for this precocious child.When Rheia uncovers something about their enemy that puts her name next to her daughter’s on their hit list, Colton is willing to do anything to keep his new family safe. But will it be enough?",0
1605,Hannah Howell|Lynsay Sands,My Immortal Highlander,"Reprinted EditionLynsay Sands and Hannah Howell return to the windswept Highlands of 16th century Scotland in the captivating story of identical twin brothers trapped between the curse that has been their legacy and the two women whose love is their destiny . . .As identical twins, Bothan and Calum MacNachton share a bond stronger than most brothers, one forged by a terrible secret. Rumors and dark tales have been whispered about their clan for centuries. For they roam the Highlands at night, driven by a savage hunger that can never be sated. Their only hope lies in marriage to Outsiders, mortal women whose pure blood will weaken the hold of their eternal curse.Kenna Brodie and Sarra DeCourcey know what it is to stand apart. They've heard the terrible, whispered warnings, but nothing could prepare them for the handsome brothers whose fierce, unyielding desires are beyond any legend . . .What Bothan and Calum promise is a life unlike any Kenna and Sarra have ever known. Now, Kenna and Sarra must choose whether to betray their dark lords or stand and fight for a passion that will never die. . .",0
1606,Alyxandra Harvey,My Love Lies Bleeding,"The Drakes are rather different to your usual neighbors. They are vampires and some of the members of the family date back to the twelfth century. One of the children, Solange, is the only born female vampire known and, as such, she poses a direct threat to the vampire queen. Her best friend Lucy is human, and when Solange is kidnapped, Lucy and Solange's brother, Nicholas, set out to save her. Lucy soon discovers that she would like to be more than just friends with Nicholas. But how does one go about dating a vampire? Meanwhile, Solange finds an unlikely ally in Kieran, a vampire slayer on the hunt for his father's killer.",0
1607,Priya Ardis,My Merlin Awakening,"If you haven't broken the rules, have you really lived?Excalibur has been pulled from the stone, but what does it mean? Arriane (aka Ryan) DuLac's got bigger problems—as student president, she's got to put on the Prom. While the Wizard Council debates their next move, she leaves the craziness behind and heads home. But she can’t hide forever. Sooner than she’d like Merlin (aka Matt) has her chasing mermaids on the trail of the Fisher King in Greece. The wounded King, defeated by Merlin’s brother, Vane, in the past holds the key to save the future.On the journey, Ryan begins to realize the friends she thought she knew, she may not know at all. At a time of shifting alliances, she must decide whose side she’s on—the brother who struggles to do right or the brother who dares to break the rules? And Ryan must decide who she is—a regular or a champion?One wrong decision and her family falls apart. One wrong decision and the world falls apart. No pressure.",0
1608,Alanea Alder,My Protector,"Gavriel Ambrosios has been dreaming of his accident prone mate for weeks. Now that he is nearing the apex of his vampiric transition, she has made her way to Lycaonia, just when he is at his most dangerous. Elizabeth Monroe was planning on staying in Lycaonia while humans forgot about the swan dive she took out of her boss’s office window. Little did she know that this short side trip was about to become permanent. Gavriel is the mate she has always dreamed of. Even as he sweeps her off her feet his need to protect her has him pushing her away. She’s both concerned with and drawn to his darker nature, but is determined to see him through his transition. In the shadows their enemy has targeted Gavriel when they know he is at his most vulnerable. They creep ever closer to the Alpha estate putting the men on high alert. But as the days get shorter and the nights get longer Elizabeth begins to wonder, which is the bigger threat? The enemy or her mate?",0
1609,Alanea Alder,My Savior,"Amelia has dreamt of her mate since she was a little girl. All her life visions of a golden prince have warmed her heart and promised a fairy-tale future. She longs for the day when they will finally be together. When the fateful day arrives and she meets Darian for the first time, she is nearly destroyed by his unequivocal rejection. His continued denial of their destined relationship has her doubting her own self worth and the visions she has had all her life. Darian is teetering on the edge. He refuses to acknowledge Amelia as his mate and shadows continue to spread across his heart. He has grown used to the emptiness in his soul and almost fears the barrage of emotions she elicits. When an unexpected tragedy sends Darian spiraling into a hopeless abyss, will Amelia have the strength to pull him out, or will she succumb to her own darkness?",0
1610,Jen Holling,My Shadow Warrior,"
Acclaimed author Jen Holling presents the stunning final novel in her sensual trilogy, set against the windswept hills of Scotland, about a trio of sisters with witchcraft -- and passion -- in their blood.
  Rose, the youngest of the MacDonell sisters, is more concerned with her father's mysterious illness than with her impending marriage to her childhood sweetheart. A gifted but frustrated healer, she decides to beg help from William MacKay -- a reclusive laird who is renowned not only for his ferocity, but also for his healing powers. Denied entry to his fortress in the cold, harsh mountains of the far northwestern highlands, Rose uses cunning to force her way in, and William is duly intrigued with this bold slip of a girl. But securing his help may not be enough to save Rose's father. For there is something darker at work in the glen, something more powerful than William's and Rose's magic combined, and only the soul-deep passion that shadows their mutual desire can help their love prevail.",0
1611,Rachel Vincent,My Soul to Keep,"Kaylee has one addiction: her very hot, very popular boyfriend, Nash. A banshee like Kaylee, Nash understands her like no one else. Nothing can come between them.Until something does.Demon breath. No, not the toothpaste-challenged kind. The Netherworld kind. The kind that really can kill you. Somehow the super-addictive substance has made its way to the human world. But how? Kaylee and Nash have to cut off the source and protect their friends—one of whom is already hooked.And so is someone else…",0
1612,Rachel Vincent,My Soul to Save,"When Kaylee Cavanaugh screams, someone dies.So when teen pop star Eden croaks onstage and Kaylee doesn’t wail, she knows something is dead wrong. She can’t cry for someone who has no soul.The last thing Kaylee needs right now is to be skipping school, breaking her dad’s ironclad curfew and putting her too-hot-to-be-real boyfriend’s loyalty to the test. But starry-eyed teens are trading their souls: a flickering lifetime of fame and fortune in exchange for eternity in the Netherworld—a consequence they can’t possibly understand.Kaylee can’t let that happen, even if trying to save their souls means putting her own at risk...",0
1613,Rachel Vincent,My Soul to Steal,"Trying to work things out with Nash—her maybe boyfriend—is hard enough for Kaylee Cavanaugh. She can't just pretend nothing happened. But ""complicated"" doesn't even begin to describe their relationship when his ex-girlfriend transfers to their school, determined to take Nash back.See, Sabine isn't just an ordinary girl. She's a mara, the living personification of a nightmare. She can read people's fears—and craft them into nightmares while her victims sleep. Feeding from human fear is how she survives.And Sabine isn't above scaring Kaylee and the entire school to death to get whatever—and whoever—she wants.",0
1614,Rachel Vincent,My Soul to Take,"She doesn't see dead people. She senses when someone near her is about to die. And when that happens, a force beyond her control compels her to scream bloody murder. Literally.Kaylee just wants to enjoy having caught the attention of the hottest guy in school. But a normal date is hard to come by when Nash seems to know more about her need to scream than she does. And when classmates start dropping dead for no apparent reason, only Kaylee knows who'll be next.",0
1615,Rose Wynters,My Wolf King,"King of a large settlement of werewolves in the rural Missouri countryside, Alexander Petrov is stunned when the residents of Nashoba become victims to a series of panther shifter attacks. Desperate to put an end to it before their existence becomes known, his life is changed when he rescues his mated female in an isolated cabin. The panthers believe she knows the location of the Jewel of Adolpha, and they won't stop until they get it back.Carole Anne Boswick is horrified to discover the supernatural world is real when a creature that looks like Bigfoot breaks into her home. Rescued at the last moment by a gorgeous and naked male, she decides to throw all caution to the wind and experience the promises his rock-hard body is making. The decadent sensuality she finds in his arms comes at a price, though. Is it one she is willing to pay?The mating heat is on, and it's more powerful than anything Carole Anne has experienced before. Utilizing the services of the pack's Sheik, Alexander satisfies her body while his guardians fight to keep them safe. Will she submit to her King?Genres: Erotic Romance, Plus-Sized Romance, Werewolf RomanceWord Count: 60,888",0
1616,Rose Wynters,My Wolf Protector,"Wolf Town Guardians - Born to walk this world as both wolf and human, these men take their role as protectors very seriously. Enjoying sensual pleasures as they please, this group of alpha werewolves are the finest when it comes to protecting their hidden settlement.Guardians are the masters of self-control, taking pride in their authority and hard, muscled bodies. That all changes at the first scent of their mates. Their control snaps. The mating heat begins.This is their stories.Book Two, Wolf Town GuardiansResigned to never knowing the truth about his mate's disappearance, Marrok Walker is a guardian with nothing left to lose. Late one night, his entire world is turned upside down when two battered werewolves stumble into Wolf Town. They have escaped from a hidden research facility in New Mexico, only moments away from death. Before losing consciousness, one of them makes a shocking revelation. Marrok discovers his mate is still alive... And desperate to be rescued.Taylor Moore was just your average, virgin accountant, until a series of horrific events altered her life. Plus-sized and loaded down with responsibilities, she lets her best friend talk her into trouble. At the very last moment, she's rescued by a tall, dangerous male riding a motorcycle. It's the start of something wonderful... Until she's abducted from him and taken to Hell's Pit.Thrown into a nightmarish world beneath a mesa, she has held onto the memory of the one night she spent with the handsome, Apache man. When the opportunity comes to help two werewolves escape, she assists them, asking only one thing in return. Find the werewolf named Marrok.Now that he knows his mate is alive, Marrok won't let anything stand in the way of reclaiming her. Planning a daring rescue, the guardians free the prisoners, but can he free Taylor from the ties that bind her?His mate is no longer the same woman he knew, but the mating heat doesn't care. It explodes, burning them both up alive. Taylor can't resist the hot, alpha werewolf, but Marrok is known for his rigid self-control. Her past is coming back to haunt her.... Will she be able to seduce the wild and savage man before it does?",0
